ID_CLIENT,MOIS_RDV,AGE,CSP,SEGMENT_MARCHE,SEGMENT_COMPORTEMENTAL,SEXE,ANCIENNETE_ANNEES,REGION,ENCOURS_DAV_M6,ENCOURS_DAV_M3,ENCOURS_DAV_M1,ENCOURS_DAV_M,ENCOURS_DAV_P1,ENCOURS_DAV_P3,ENCOURS_DAV_P6,ENCOURS_EPARGNE_M6,ENCOURS_EPARGNE_M3,ENCOURS_EPARGNE_M1,ENCOURS_EPARGNE_M,ENCOURS_EPARGNE_P1,ENCOURS_EPARGNE_P3,ENCOURS_EPARGNE_P6,ENCOURS_CREDIT_M6,ENCOURS_CREDIT_M3,ENCOURS_CREDIT_M1,ENCOURS_CREDIT_M,ENCOURS_CREDIT_P1,ENCOURS_CREDIT_P3,ENCOURS_CREDIT_P6,FLUX_ENTRANTS_M6,FLUX_ENTRANTS_M3,FLUX_ENTRANTS_M1,FLUX_ENTRANTS_M,FLUX_ENTRANTS_P1,FLUX_ENTRANTS_P3,FLUX_ENTRANTS_P6,NB_PRODUITS_M6,NB_PRODUITS_M3,NB_PRODUITS_M1,NB_PRODUITS_M,NB_PRODUITS_P1,NB_PRODUITS_P3,NB_PRODUITS_P6,NB_CONNEXIONS_DIGITALES_M6,NB_CONNEXIONS_DIGITALES_M3,NB_CONNEXIONS_DIGITALES_M1,NB_CONNEXIONS_DIGITALES_M,NB_CONNEXIONS_DIGITALES_P1,NB_CONNEXIONS_DIGITALES_P3,NB_CONNEXIONS_DIGITALES_P6
B000001,2025-10,33,Ouvrier,Grand Public,Digital,F,8.2,Sud-Est,818.88,663.18,700.01,761.55,738.2,,,7025.28,6975.69,6827.34,6371.22,6231.92,,,0.0,0.0,0.0,0.0,0.0,,,964.17,932.62,934.24,914.13,863.75,,,6.0,5.0,5.0,5.0,5.0,,,23.0,20.0,23.0,24.0,27.0,,
B000002,2025-05,27,Ouvrier,Intermédiaire,Digital,F,9.2,Île-de-France,9776.58,8859.97,9989.79,9244.67,9524.83,8785.25,9560.67,17410.69,16697.94,18286.27,17391.53,17826.73,18717.09,18293.34,6263.56,6188.25,6226.19,5643.78,5772.9,5528.83,6165.79,1221.62,1121.48,1164.12,1104.57,1184.85,1249.84,1162.2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,17.0,19.0,17.0,20.0,20.0,21.0
B000003,2025-11,61,Ouvrier,Intermédiaire,Mixte,M,14.8,Nord-Est,5129.21,5285.94,5093.56,5220.55,5131.18,,,50441.47,46481.26,53480.01,51143.82,49282.37,,,5711.95,6005.71,6036.22,6301.56,6332.17,,,2865.8,3023.15,3069.55,3025.86,3385.37,,,4.0,4.0,4.0,4.0,4.0,,,5.0,5.0,5.0,5.0,6.0,,
B000004,2025-09,74,Cadre,Intermédiaire,Digital,M,11.0,Centre,4697.57,4085.76,4553.62,4229.41,4476.24,4255.42,,1526.69,1499.7,1619.2,1465.03,1729.7,1759.24,,9238.72,9165.22,8838.64,8793.51,9357.71,9152.45,,2420.92,2644.95,2783.82,2551.88,2886.01,2635.82,,2.0,2.0,2.0,2.0,2.0,2.0,,30.0,31.0,33.0,30.0,37.0,38.0,
B000005,2025-02,39,Profession intermédiaire,Intermédiaire,Digital,F,27.0,Sud-Est,3912.13,4175.55,4207.92,4063.6,3976.17,3896.5,3937.5,36931.96,40762.06,38791.27,41201.67,38893.4,44004.91,44465.69,603.21,683.56,711.61,620.4,712.15,710.01,667.11,1135.7,1038.91,1135.09,1065.06,1174.39,1088.2,1067.36,2.0,2.0,2.0,2.0,2.0,2.0,3.0,19.0,18.0,20.0,20.0,24.0,25.0,24.0
B000006,2025-12,29,Retraité,Grand Public,Mixte,M,9.4,Centre,2087.83,2092.6,2170.1,2095.87,,,,3793.62,4099.15,4024.27,3884.69,,,,0.0,0.0,0.0,0.0,,,,1676.34,1649.37,1482.93,1591.41,,,,2.0,2.0,2.0,2.0,,,,5.0,5.0,5.0,5.0,,,
B000007,2025-10,18,Employé,Grand Public,Agence,F,8.9,Centre,949.49,909.14,1020.89,945.18,1012.13,,,8695.12,9415.91,9006.74,8785.09,9818.3,,,0.0,0.0,0.0,0.0,0.0,,,986.38,1001.24,1037.73,1012.92,927.94,,,4.0,4.0,4.0,4.0,4.0,,,3.0,3.0,3.0,3.0,3.0,,
B000008,2025-10,42,Employé,Grand Public,Agence,M,23.0,Île-de-France,5396.75,5434.51,4908.55,5074.17,4754.57,,,41260.85,41227.68,39514.88,36219.88,36425.28,,,0.0,0.0,0.0,0.0,0.0,,,1609.24,1580.48,1477.01,1557.47,1605.61,,,3.0,3.0,3.0,3.0,3.0,,,4.0,4.0,4.0,4.0,5.0,,
B000009,2025-02,41,Profession intermédiaire,Grand Public,Agence,M,4.3,Sud-Est,3130.18,3624.81,3585.56,3327.12,3369.18,3672.84,3724.15,5419.34,5364.51,5373.52,4805.74,5636.6,5970.78,6493.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.56,1419.02,1638.98,1407.37,1503.93,1540.43,1546.53,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0
B000010,2025-05,37,Profession intermédiaire,Grand Public,Mixte,F,24.4,Sud-Ouest,3373.26,3607.77,3393.28,3520.3,3824.4,3752.86,3677.02,3852.82,4239.16,4214.68,4393.71,4568.99,5020.48,4906.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3121.25,2997.64,3290.42,3564.08,3300.24,3662.81,3473.04,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,10.0,9.0
