ID_CLIENT,MOIS_RDV,AGE,CSP,SEGMENT_MARCHE,SEGMENT_COMPORTEMENTAL,SEXE,ANCIENNETE_ANNEES,REGION,ENCOURS_DAV_M6,ENCOURS_DAV_M3,ENCOURS_DAV_M1,ENCOURS_DAV_M,ENCOURS_DAV_P1,ENCOURS_DAV_P3,ENCOURS_DAV_P6,ENCOURS_EPARGNE_M6,ENCOURS_EPARGNE_M3,ENCOURS_EPARGNE_M1,ENCOURS_EPARGNE_M,ENCOURS_EPARGNE_P1,ENCOURS_EPARGNE_P3,ENCOURS_EPARGNE_P6,ENCOURS_CREDIT_M6,ENCOURS_CREDIT_M3,ENCOURS_CREDIT_M1,ENCOURS_CREDIT_M,ENCOURS_CREDIT_P1,ENCOURS_CREDIT_P3,ENCOURS_CREDIT_P6,FLUX_ENTRANTS_M6,FLUX_ENTRANTS_M3,FLUX_ENTRANTS_M1,FLUX_ENTRANTS_M,FLUX_ENTRANTS_P1,FLUX_ENTRANTS_P3,FLUX_ENTRANTS_P6,NB_PRODUITS_M6,NB_PRODUITS_M3,NB_PRODUITS_M1,NB_PRODUITS_M,NB_PRODUITS_P1,NB_PRODUITS_P3,NB_PRODUITS_P6,NB_CONNEXIONS_DIGITALES_M6,NB_CONNEXIONS_DIGITALES_M3,NB_CONNEXIONS_DIGITALES_M1,NB_CONNEXIONS_DIGITALES_M,NB_CONNEXIONS_DIGITALES_P1,NB_CONNEXIONS_DIGITALES_P3,NB_CONNEXIONS_DIGITALES_P6
B000201,2025-02,42,Retraité,Grand Public,Mixte,M,16.7,Centre,1611.49,1571.63,1686.04,1618.5,1583.75,1697.54,1607.33,3303.59,3142.63,3575.65,3517.06,3330.54,3505.85,3548.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1071.2,1124.31,986.06,1107.45,1153.5,1177.81,1178.43,5.0,4.0,5.0,5.0,5.0,5.0,5.0,7.0,7.0,8.0,7.0,6.0,7.0,7.0
B001079,2025-09,47,Profession intermédiaire,Intermédiaire,Mixte,F,9.1,Centre,4868.45,4539.32,4512.3,4968.13,4652.27,5530.49,,8820.19,9175.76,9169.39,9792.47,9736.33,9319.16,,0.0,0.0,0.0,0.0,0.0,0.0,,1882.15,1914.03,2244.88,2111.8,1972.69,1929.28,,6.0,6.0,6.0,6.0,6.0,6.0,,12.0,13.0,13.0,13.0,12.0,14.0,
B000611,2025-05,65,Profession intermédiaire,Patrimonial,Mixte,M,6.7,Nord-Ouest,16059.69,16184.64,16003.19,15691.1,16889.72,15418.08,15504.88,5438.49,5333.21,5220.1,5859.28,5300.89,6029.43,5457.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3311.85,3504.51,3633.02,3223.4,3301.61,3731.42,3490.6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0
B002160,2025-08,67,Employé,Intermédiaire,Digital,M,15.7,Nord-Est,4340.5,4160.76,4376.31,4304.03,3904.76,4066.08,,3909.9,3691.43,3957.03,3928.59,4190.17,4107.35,,0.0,0.0,0.0,0.0,0.0,0.0,,3842.23,3875.55,3713.21,3773.91,3675.77,4321.98,,5.0,5.0,5.0,5.0,5.0,5.0,,21.0,21.0,21.0,21.0,22.0,23.0,
B001170,2025-01,45,Cadre,Grand Public,Mixte,F,23.3,Centre,1829.67,1963.45,1982.62,2049.31,1980.11,1998.41,2122.05,8942.74,9118.34,8703.59,9909.79,9310.05,8966.13,8688.46,0.0,0.0,0.0,0.0,0.0,0.0,,2114.5,2328.51,2292.21,2077.28,2218.38,2031.91,2068.85,3.0,3.0,3.0,3.0,3.0,3.0,3.0,13.0,12.0,12.0,13.0,12.0,13.0,13.0
B002449,2025-06,54,Retraité,Grand Public,Digital,M,27.0,Nord-Ouest,904.44,964.42,919.39,1038.9,929.82,1028.13,1025.91,10277.51,9779.3,10915.13,10315.69,11419.95,9893.99,10786.17,99376.27,101622.59,106417.34,108148.38,109014.09,108660.03,110571.43,1998.1,2248.15,2272.67,2214.21,2226.5,2357.15,2416.66,5.0,5.0,5.0,5.0,5.0,5.0,5.0,21.0,20.0,21.0,22.0,21.0,23.0,24.0
B002939,2025-04,41,Ouvrier,Grand Public,Mixte,M,11.1,Nord-Ouest,1413.42,1462.28,1347.72,1494.24,1546.65,1570.25,1470.0,5366.21,5409.07,5268.88,5685.12,5372.76,5518.24,5186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1424.51,1599.91,1614.14,1705.42,1471.74,1777.38,1532.61,6.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,8.0,8.0,9.0,9.0,7.0
B000814,2025-01,58,Cadre,Grand Public,Mixte,M,14.3,Sud-Est,2278.99,2265.29,2239.46,2493.69,2232.22,2185.14,2409.26,4848.47,5273.19,4867.18,5150.11,5291.88,4964.71,4913.03,27450.78,26203.9,28324.4,28098.35,26257.43,28106.5,27799.97,2153.92,2359.36,2105.49,2327.03,2190.37,2240.38,2338.18,7.0,7.0,6.0,6.0,7.0,7.0,7.0,10.0,10.0,10.0,11.0,11.0,9.0,11.0
B001269,2025-10,36,Retraité,Patrimonial,Mixte,M,7.0,Sud-Ouest,7088.73,8105.59,7340.5,7249.91,8135.04,,,23088.99,20638.69,21706.01,21737.69,21530.22,,,1146.49,1094.92,1187.82,1139.19,1129.12,,,4274.35,4478.71,4796.99,4844.46,4932.69,,,2.0,2.0,2.0,2.0,2.0,,,5.0,5.0,5.0,5.0,5.0,,
B000871,2025-02,36,Retraité,Patrimonial,Agence,M,12.7,Sud-Est,19002.71,19888.85,19115.2,18479.01,20642.61,19919.3,19553.09,56482.73,58547.58,57163.1,58039.16,57041.23,55464.61,53140.95,8466.33,8071.1,8329.97,8536.94,7796.74,8922.36,8586.77,1674.88,1722.13,1808.47,1829.35,1878.8,1895.49,1690.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
B000103,2025-07,42,Employé,Grand Public,Mixte,F,22.9,Sud-Ouest,685.37,723.44,776.91,737.28,731.57,820.99,,6446.32,6913.19,6547.47,6870.86,6851.18,7069.68,,0.0,0.0,0.0,0.0,0.0,0.0,,1156.59,1102.44,1114.73,1001.32,924.68,1055.17,,6.0,6.0,6.0,5.0,6.0,6.0,,11.0,11.0,11.0,11.0,11.0,10.0,
B003257,2025-02,65,Employé,Grand Public,Digital,M,13.9,Centre,3025.26,3191.02,3112.96,3499.31,3457.4,3670.8,3580.41,22632.74,22075.31,22309.45,22931.13,21546.69,24476.81,22836.73,694.99,739.66,758.26,781.67,815.66,796.13,777.25,2607.48,2562.35,2508.44,2988.17,2718.2,2836.21,2724.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,26.0,26.0,26.0,27.0,26.0,26.0
